0: NT_UNKNOWN
1: NT_GEO_MESH
2: NT_MAT_MAP
3: NT_GEO_GROUP
4: NT_GEO_PLACEMENT
5: NT_GEO_SCATTER
6: NT_FLOAT
7: _NT_FLOAT2
8: _NT_FLOAT3
9: NT_INT
10: _NT_INT2
11: NT_BOOL
12: NT_IMAGE_RESOLUTION
13: NT_CAM_THINLENS
14: NT_ENV_DAYLIGHT
15: NT_IMAGER_CAMERA
16: NT_MAT_GLOSSY
17: NT_MAT_DIFFUSE
18: NT_MAT_SPECULAR
19: NT_MAT_MIX
20: NT_MAT_PORTAL
21: _NT_CAMERARESPONSE
22: NT_TEX_TURBULENCE
23: NT_KERN_PMC
24: NT_KERN_DIRECTLIGHTING
25: NT_KERN_PATHTRACING
26: NT_KERN_INFO
27: NT_TRANSFORM_3D
28: NT_TRANSFORM_SCALE
29: NT_TRANSFORM_ROTATION
30: NT_SUN_DIRECTION
31: NT_TEX_FLOAT
32: NT_TEX_GAUSSIANSPECTRUM
33: NT_TEX_RGB
34: NT_TEX_IMAGE
35: NT_TEX_ALPHAIMAGE
36: NT_TEX_FLOATIMAGE
37: NT_ENV_TEXTURE
38: NT_TEX_MIX
39: NT_TEX_MULTIPLY
40: NT_TEX_COSINEMIX
41: NT_TEX_CLAMP
42: NT_TEX_SAWWAVE
43: NT_TEX_TRIANGLEWAVE
44: NT_TEX_SINEWAVE
45: NT_TEX_CHECKS
46: NT_TEX_INVERT
47: NT_TEX_MARBLE
48: NT_TEX_RGFRACTAL
49: NT_TEX_GRADIENT
50: NT_TEX_FALLOFF
51: NT_TEX_COLORCORRECTION
52: NT_EMIS_BLACKBODY
53: NT_EMIS_TEXTURE
54: NT_LOCAL_APP_PREFS
55: NT_RENDERTARGET
56: NT_ENUM
57: NT_MED_ABSORPTION
58: NT_MED_SCATTERING
59: NT_PHASE_SCHLICK
60: NT_POSTPROCESSING
61: NT_CAM_PANORAMIC
62: NT_TEX_DIRT
63: NT_OBJECTLAYER_MAP
64: NT_OBJECTLAYER
65: NT_TRANSFORM_2D
66: NT_TRANSFORM_VALUE
67: NT_ANNOTATION
68: NT_KERN_MATPREVIEW
69: NT_PROJECT_SETTINGS
70: _NT_REMOTE_APP_PREFS
71: NT_SPLIT_PANE
72: NT_WORK_PANE
73: NT_PROJ_CYLINDRICAL
74: NT_PROJ_LINEAR
75: NT_PROJ_PERSPECTIVE
76: NT_PROJ_SPHERICAL
77: NT_PROJ_UVW
78: NT_PROJ_BOX
79: NT_DISPLACEMENT
80: NT_TEX_RANDOMCOLOR
81: NT_IMPORT_ALEMBIC_PREFS
82: NT_IMPORT_OBJ_PREFS
83: NT_STRING
84: NT_PROGRAMMABLE_GRAPH_INPUT
85: NT_RENDER_PASSES
86: NT_TEX_NOISE
87: NT_FILE
88: NT_TEX_SIDE
89: NT_RENDER_LAYER
90: NT_GEO_VOLUME
91: _NT_ORC_VERSION
92: NT_IMPORT_VDB_PREFS
93: NT_CAM_BAKING
94: NT_VOLUME_RAMP
95: NT_VERTEX_DISPLACEMENT
96: NT_MED_VOLUME
97: NT_ANIMATION_SETTINGS
98: NT_FILM_SETTINGS
99: NT_DIRECTORY
100: NT_GEO_JOINT
101: NT_LUT_CUSTOM
102: NT_TEX_W
103: NT_RENDER_JOB_GROUP
104: NT_TEX_ADD
105: NT_TEX_COMPARE
106: NT_TEX_SUBTRACT
107: NT_TEX_TRIPLANAR
108: NT_GEO_PLANE
109: NT_PROJ_TRIPLANAR
110: NT_IMPORT_IMAGE_PREFS
111: NT_TEX_INSTANCE_COLOR
112: NT_TEX_INSTANCE_RANGE
113: NT_TEX_BAKED_IMAGE
114: NT_MAT_OSL
115: NT_TEX_OSL
116: NT_TEX_UVW_TRANSFORM
117: NT_IMPORT_FBX_PREFS
118: NT_MAT_METAL
119: NT_MAT_TOON
120: NT_TOON_RAMP
121: NT_TOON_POINT_LIGHT
122: NT_TOON_DIRECTIONAL_LIGHT
123: NT_PROJ_OSL
124: NT_CAM_OSL
